2015 BMW 5 Series 535i xDrive	$23,490	51,319 miles	Sedan 	Black 	6 Cyl 
2015 Mercedes-Benz M-Class ML 350	$24,990	55,071 miles	SUV 	White 	6 Cyl 
2013 Nissan Juke S	$9,985	41,709 miles	SUV 	Unspecified 	4 Cyl 
2016 Chevrolet Traverse LT	$18,890	40,456 miles	SUV 	Gray 	6 Cyl 
2014 Jeep Grand Cherokee Laredo	$17,860	40,995 miles	SUV 	Gray 	6 Cyl 
2014 Infiniti Q50 Premium	$17,680	37,743 miles	Sedan 	White 	6 Cyl 
2015 Nissan Pathfinder SV	$15,990	32,068 miles	SUV 	Black 	6 Cyl 
2015 Acura MDX Technology	$24,860	40,650 miles	SUV 	White 	6 Cyl 
2014 Infiniti Q50 Sport	$19,995	45,099 miles	Sedan 	Gray 	6 Cyl 
2014 Nissan Maxima SV	$13,680	48,882 miles	Sedan 	Black 	6 Cyl 
2015 Mercedes-Benz GLA 250	$20,590	32,025 miles	SUV 	Black 	4 Cyl 
2014 Maserati Ghibli S Q4	$31,490	31,162 miles	Sedan 	Black 	6 Cyl 
2015 Acura ILX	$13,475	24,086 miles	Sedan 	White 	4 Cyl 
2015 Honda Accord EXL	$14,890	40,251 miles	Sedan 	Black 	4 Cyl 
2015 Acura MDX Technology	$23,780	40,566 miles	SUV 	Gray 	6 Cyl 
2006 Mazda Mazda3	$3,999	172,821 miles	Sedan 	Silver 	4 Cyl 
2007 Toyota Camry	$6,588	130,970 miles	Sedan 	Gray 	4 Cyl 
2004 Ford Explorer	$4,999	94,447 miles	SUV 	White 	6 Cyl 
2005 Honda Civic LX	$4,599	177,191 miles	Sedan 	Silver 	4 Cyl 
2009 Ford Escape XLT	$4,999	188,629 miles	SUV 	Gray 	6 Cyl 
2010 Nissan Altima	$6,599	127,831 miles	Sedan 	Gray 	4 Cyl 
2015 Nissan Versa	$7,950	65,016 miles	Sedan 	Gray 	4 Cyl 
2009 Nissan Maxima	$7,954	145,563 miles	Sedan 	Black 	6 Cyl 
2008 Lincoln MKZ	$7,980	68,952 miles	Sedan 	Gold 	6 Cyl 
2006 Nissan Quest	$4,932	166,884 miles	Minivan 	Gray 	6 Cyl 
2012 Honda Accord Crosstour EXL	$9,995	122,449 miles	SUV 	Gray 	6 Cyl 
2005 Volvo XC90 T6	$6,995	97,466 miles	SUV 	Gray 	6 Cyl 
2017 Chevrolet Silverado 1500 LT	$34,988	3,605 miles	Pickup 	White 	8 Cyl 
2014 Volkswagen Jetta S	$8,600	33,787 miles	Sedan 	Black 	4 Cyl 
2015 Volkswagen Tiguan S	$12,900	29,289 miles	SUV 	Gray 	4 Cyl 
2016 Chevrolet Colorado LT	$25,988	25,110 miles	Pickup 	White 	6 Cyl 
2015 Lexus IS 250	$24,995	24,738 miles	Sedan 	Silver 	6 Cyl 
2014 Dodge Dart SXT	$10,495	35,920 miles	Sedan 	Blue 	4 Cyl 
2015 BMW X5 xDrive35i	$34,999	43,121 miles	SUV 	White 	6 Cyl 
2012 Mercedes-Benz CLS 550	$31,985	37,652 miles	Sedan 	Silver 	8 Cyl 
2015 Infiniti Q50 Premium	$23,879	13,075 miles	Sedan 	White 	6 Cyl 
2016 GMC Sierra 1500 Denali	$36,995	43,474 miles	Pickup 	Black 	8 Cyl 
